rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
BEEM_s504_T1	1.964	1.924	2.282	2.113	2.583	2.454	2.141	2.426	2.096	2.094	2.542	1.895	2.269	2.516	2.539	2.418	2.348	2.42	2.103	1.616	2.026	2.353	2.332	2.227	2.625	2.157	2.513	2.194	2.407	2.194	2.706	3.707	2.114	2.561	2.26053	1116477.0	1564806.84793
BEEM_s507_T1	2.255	2.296	2.359	1.775	2.747	2.698	2.088	2.511	2.011	2.096	2.464	2.101	2.18	2.566	2.467	2.351	2.414	2.451	2.255	1.672	1.904	2.149	2.345	2.162	2.711	2.279	2.49	1.929	2.585	2.28	2.802	3.227	2.355	2.518	2.2712	1152967.0	1640882.754311
BEEM_s510_T1	2.402	2.163	2.347	1.743	3.555	2.558	2.412	2.479	2.22	2.039	2.714	1.901	2.233	2.628	2.781	2.266	2.513	2.478	2.359	1.563	2.026	2.131	2.411	2.295	2.427	2.183	2.472	2.133	2.541	2.394	2.759	3.505	2.252	2.876	2.31973	986725.0	1309533.698783
BEEM_s512_T1	2.667	2.18	2.397	1.863	3.506	2.792	2.509	2.727	2.094	2.155	2.707	1.86	2.443	2.919	2.78	2.441	2.454	2.763	2.266	1.63	2.139	2.264	2.397	2.357	2.439	2.307	2.563	2.078	2.811	2.488	2.993	3.291	2.445	2.777	2.41476	1139817.0	1629476.821833
BEEM_s513_T1	2.36	2.25	2.414	1.653	2.408	2.654	2.274	2.495	2.095	2.012	2.806	1.923	2.471	2.679	2.614	2.553	2.502	2.378	2.296	1.466	2.07	2.476	2.366	2.178	2.52	2.279	2.51	2.028	2.426	2.444	2.909	3.222	2.244	2.624	2.30616	832271.0	1117610.586417
BEEM_s515_T1	2.139	2.267	2.316	1.605	2.998	2.197	2.008	2.266	2.19	1.944	2.287	1.73	2.336	2.513	2.622	2.145	2.195	2.502	2.308	1.518	1.865	2.293	2.043	1.893	2.38	2.189	2.43	1.853	2.313	2.141	2.79	3.288	1.881	2.564	2.14497	1012798.0	1295467.70359
BEEM_s518_T1	2.264	2.338	2.367	1.752	3.212	2.675	2.527	2.534	2.495	1.962	2.657	1.942	2.337	2.584	2.736	2.097	2.435	2.733	2.24	1.521	1.879	2.133	2.408	2.09	2.575	2.173	2.496	2.04	2.581	2.434	2.453	3.869	2.107	2.972	2.30979	879520.0	1109461.129712
BEEM_s522_T1	2.712	2.706	2.445	1.941	3.216	2.954	2.598	2.91	2.526	2.173	2.882	1.946	2.515	2.952	2.679	2.433	2.647	2.995	2.548	1.529	2.489	2.557	2.076	2.664	2.745	2.603	2.557	2.37	2.711	2.478	3.426	3.549	2.493	3.275	2.5313	1042330.0	1323711.503641
BEEM_s524_T1	2.224	1.812	2.274	1.776	3.257	2.533	2.165	2.673	2.002	2.251	2.544	1.845	2.275	2.719	2.613	2.205	2.489	2.787	2.345	1.576	1.897	1.766	2.197	2.082	1.778	2.218	2.257	1.853	2.52	2.21	3.263	3.641	2.442	2.768	2.21978	1055811.0	1529771.530387
BEEM_s540_T1	2.486	2.213	2.556	2.073	3.025	2.654	2.382	2.424	2.127	2.119	2.5	2.196	2.397	2.567	2.575	2.4	2.47	2.672	2.283	1.821	2.064	2.206	2.489	2.314	2.762	2.302	2.578	2.095	2.658	2.496	2.767	3.335	2.168	2.623	2.36564	1134476.0	1586417.799798
BEEM_s546_T1	2.169	2.282	2.382	1.801	3.133	2.512	2.217	2.545	2.289	2.193	2.641	2.157	2.483	2.339	2.691	1.891	2.285	2.605	2.196	1.826	1.884	2.204	2.129	2.168	2.55	2.563	2.55	2.098	2.443	2.178	3.425	3.757	2.231	2.291	2.27815	915210.0	1233589.844164
BEEM_s549_T1	2.509	2.403	2.429	1.791	2.875	2.597	2.425	2.657	2.501	2.27	2.54	2.073	2.33	2.715	2.353	2.316	2.54	2.416	2.428	1.485	2.087	2.347	2.35	2.239	2.433	2.413	2.557	2.164	2.676	2.512	2.744	3.337	2.289	2.627	2.39439	1011083.0	1316115.556383
BEEM_s552_T1	2.613	2.41	2.442	1.741	3.174	2.579	2.376	2.794	2.187	2.052	2.669	1.875	2.452	2.787	2.509	2.424	2.451	2.785	2.608	1.58	2.078	2.5	2.504	2.312	2.702	2.496	2.693	2.065	2.689	2.558	3.414	3.807	1.905	2.696	2.40652	815828.0	1147129.076096
BEEM_s566_T1	2.454	2.433	2.426	1.848	3.645	2.684	2.405	2.534	2.309	2.219	2.582	1.897	2.5	2.61	2.268	2.521	2.45	2.716	2.368	1.481	2.21	2.384	2.432	2.334	2.576	2.353	2.544	2.147	2.572	2.383	2.807	3.244	2.403	2.709	2.3807	948501.0	1282320.298378
BEEM_s570_T1	2.388	2.108	2.324	1.905	2.898	2.494	2.184	2.457	2.139	1.991	2.698	1.841	2.392	2.43	2.544	2.333	2.387	2.574	2.325	1.714	2.072	2.23	2.465	2.402	2.588	2.309	2.5	2.146	2.552	2.334	2.84	3.509	2.609	2.851	2.31455	1029133.0	1413167.529669
BEEM_s577_T1	2.35	1.812	2.44	2.075	2.09	2.364	2.301	2.576	2.055	2.299	2.459	2.08	2.429	2.62	2.273	2.26	2.337	2.807	2.312	1.696	2.096	2.147	2.35	2.324	2.369	2.487	2.444	2.188	2.47	2.438	3.092	3.038	2.422	2.66	2.33845	1098305.0	1463065.518068
BEEM_s582_T1	2.499	2.301	2.529	1.917	3.104	2.573	2.458	2.647	2.205	2.05	2.657	1.987	2.175	2.752	2.632	2.339	2.443	2.603	2.368	1.709	2.16	2.215	2.415	2.189	2.613	2.37	2.534	2.225	2.557	2.442	3.069	3.302	2.298	2.748	2.37979	1035770.0	1405156.184789
BEEM_s584_T1	2.479	2.098	2.46	1.853	3.721	2.577	2.371	2.681	2.06	2.302	2.521	1.898	2.268	2.691	2.433	2.579	2.381	2.721	2.235	1.541	2.029	2.458	2.299	2.376	2.586	2.344	2.551	2.323	2.66	2.464	2.551	3.646	2.339	2.855	2.39515	1111036.0	1565684.785538
BEEM_s589_T1	2.744	2.485	2.77	1.936	3.511	2.849	2.741	2.769	2.314	2.185	2.768	1.982	2.7	2.902	2.573	2.651	2.719	2.888	2.564	1.589	2.213	2.526	2.772	2.567	2.84	2.589	2.885	2.342	3.058	2.819	2.891	3.72	2.852	2.942	2.59902	1144779.0	1442424.981775
BEEM_s591_T1	2.46	2.375	2.448	1.818	3.282	2.674	2.276	2.629	2.249	2.146	2.791	1.865	2.469	2.657	2.133	2.308	2.46	2.438	2.439	1.653	2.012	2.528	2.195	2.26	3.043	2.555	2.643	2.095	2.616	2.315	3.276	3.805	2.572	2.741	2.35364	907834.0	1256804.921954
BEEM_s592_T1	2.494	2.313	2.449	2.088	3.127	2.777	2.47	2.816	2.256	2.344	2.816	2.032	2.359	2.913	2.691	2.52	2.606	2.539	2.351	1.796	2.111	2.31	2.502	2.341	2.485	2.373	2.569	2.223	2.771	2.555	2.805	3.71	2.24	2.844	2.47757	1294622.0	1612886.2719
BEEM_s599_T1	2.402	2.668	2.636	2.007	2.899	2.432	2.495	2.954	2.337	2.24	2.912	1.955	2.776	2.872	2.946	2.418	2.588	2.997	2.431	1.649	2.269	2.678	2.518	2.294	2.839	2.642	2.771	2.293	2.719	2.599	3.573	3.878	2.199	3.237	2.52046	994761.0	1275895.271659
BEEM_s601_T1	2.526	2.209	2.303	1.9	3.139	2.747	2.493	2.767	2.225	2.27	2.611	2.185	2.457	2.854	2.657	2.468	2.472	2.493	2.308	1.698	2.138	2.309	2.439	2.38	2.823	2.377	2.448	2.308	2.755	2.547	2.594	2.991	2.538	2.793	2.44359	1104340.0	1530047.244924
BEEM_s602_T1	2.178	2.309	2.198	1.833	2.797	2.415	2.09	2.369	2.055	1.84	2.811	1.874	2.64	2.422	2.563	2.523	2.277	2.906	2.526	1.729	1.799	2.217	2.303	2.285	2.578	2.387	2.361	2.007	2.368	2.168	3.401	2.743	2.472	2.761	2.22652	756833.0	1209866.923906
BEEM_s607_T1	2.548	2.225	2.504	1.818	3.171	2.53	2.451	2.799	2.093	2.207	2.666	2.044	2.248	2.79	2.932	2.373	2.536	2.603	2.303	1.493	2.045	2.23	2.519	2.33	2.668	2.308	2.609	2.176	2.538	2.413	2.439	3.731	2.404	2.854	2.40528	1095264.0	1393951.547848
BEEM_s608_T1	2.487	2.535	2.434	2.006	3.239	2.785	2.289	2.654	2.331	2.194	2.647	2.012	2.541	2.759	2.879	2.107	2.485	2.852	2.453	1.576	1.944	2.294	2.33	2.132	2.725	2.431	2.373	2.121	2.673	2.404	3.275	2.902	2.658	2.685	2.35575	1155774.0	1520315.680658
